serial,template,print,gridid,subgridid,digikey_pn,cost,manual_title,manual_package,manual_quickdesc,manual_mfrpn,manual_desc,notes,restock
S175,,,,,,296-34698-5-ND,,,,,,,
S176,,,,,,PIC18F44J10-I/ML-ND,,,,,,,
S177,,,,,,PIC18F14K50T-I/SSCT-ND,,,,,,,
S178,,,,,,,"IC, MCU, PIC (Misc)",Misc,,,,,
S179,,,,,,296-32415-1-ND,,,,,,,
S180,,,,,,296-28408-1-ND,,,,,,,
S181,,,,,,296-20717-1-ND,,,,,,,
S182,,,,,,296-23978-1-ND,,,,,,,
S183,,,,,,2N7002ECT-ND,,,,,,,
S184,,,,,,296-2397-5-ND,,,,,,,
S185,,,,,,296-18476-1-ND,,,,,,,
S186,,,,,,296-38916-1-ND,,,,,,,
S187,,,,,,296-28913-1-ND,,,,,,,
S188,,,,,,LM1117IMP-5.0/NOPBCT-ND,,,,,,,
S189,,,,,,LM1117IMP-3.3/NOPBCT-ND,,,,,,,
S190,,,,,,LM3671MF-3.3/NOPBCT-ND,,,,,,,
S191,,,,,,LM2734XMK/NOPBCT-ND,,,,,,,
S192,,,x,,LMR62014XMF/NOPBCT-ND,,,,,,,,
S193,,,,,,,,,,,,,
S194,,,,,,,,,,,,,
S195,,,,,,,,,,,,,
S196,,,,,,,,,,,,,
S197,,,,,,,,,,,,,
S198,,,,,,,,,,,,,
S199,,,,,,,,,,,,,
S200,,,,,,,,,,,,,
S201,,,,,,,,,,,,,
S202,,,,,,,,,,,,,
S203,,,,,,,,,,,,,
S204,,,,,,,,,,,,,
S205,,,,,,,,,,,,,
S206,,,,,,,,,,,,,
S207,,,,,,,,,,,,,
S208,,,,,,,,,,,,,
S209,,,,,,,,,,,,,
S210,,,,,,,,,,,,,
S211,,,,,,,,,,,,,
S212,,,,,,,,,,,,,
S213,,,,,,,,,,,,,
S214,,,,,,,,,,,,,
S215,,,,,,,,,,,,,
S216,,,,,,,,,,,,,
S217,,,,,,,,,,,,,
S218,,,,,,,,,,,,,
S219,,,,,,,,,,,,,
S220,,,,,,,,,,,,,
S221,,,,,,,,,,,,,
S222,,,,,,,,,,,,,
S223,,,,,,,,,,,,,
