serial,gridid,subgridid,digikey_pn,cost,manual_title,manual_package,manual_quickdesc,manual_mfrpn,manual_desc,notes
S001,F1,,BC2657CT-ND,,,,,,,
S002,G1,,BC2659CT-ND,,,,,,,
S003,H1,,BC2662CT-ND,,,,,,,
S004,E2,,BC2665CT-ND,,,,,,,
S005,F2,,BC1162CT-ND,,,,,,,
S006,H2,,399-6602-ND,,,,,,,
S007,,,MBR40250TGOS-ND,,,,,,,
S008,E22,,1N4148TACT-ND,,,,,,,
S009,H22,,1N4007-TPMSCT-ND,,,,,,,
S010,,,P10258-ND,,,,,,,
S011,,,XC967-ND,,,,,,,
S012,E16,,BC2301-ND,,,,,,,
S013,,,BUF634P-ND,,,,,,,
S014,,,296-7186-5-ND,,,,,,,
S015,,,OPA277PA-ND,,,,,,,
S016,,,INA128PA-ND,,,,,,,
S017,A9,,296-34310-5-ND,,,,,,,
S018,B10,,INA134PA-ND,,,,,,,
S019,A10,,296-1389-5-ND,,,,,,,
S020,,,296-29493-ND,,,,,,,
S021,,,296-21235-5-ND,,,,,,,
S022,,,OPA690ID-ND,,,,,,,
S023,,,OPA691ID-ND,,,,,,,
S024,,,296-16756-5-ND,,,,,,,
S025,,,296-17400-5-ND,,,,,,,
S026,,,296-28770-1-ND,,,,,,,
S027,,,296-14175-5-ND,,,,,,,
S028,,,296-12299-1-ND,,,,,,,
S029,,,296-10530-1-ND,,,,,,,
S030,,,296-1014-1-ND,,,,,,,
S031,A11,,ADS1286PA-ND,,,,,,,
S032,B11,,ADS7816P-ND,,,,,,,
S033,C11,,296-21947-1-ND,,,,,,,
S034,,,296-27415-5-ND,,,,,,,
S035,B12,,DAC0808LCN/NOPB-ND,,,,,,,
S036,A12,,296-3041-5-ND,,,,,,,
S037,C12,,296-3073-5-ND,,,,,,,
S038,D12,,296-17643-1-ND,,,,,,,
S039,,,MC7805CTGOS-ND,,,,,,,
S040,F9,,497-7288-ND,,,,,,,
S041,E11,,296-10184-5-ND,,,,,,,
S042,E13,,296-17766-5-ND,,,,,,,
S043,,,296-21841-1-ND,,,,,,,
S044,G9,,296-32415-1-ND,,,,,,,
S045,H10,,296-14439-1-ND,,,,,,,
S046,,,REG711EA3.3250CT-ND,,,,,,,
S047,G10,,296-26122-1-ND,,,,,,,
S048,F13,,296-21860-5-ND,,,,,,,
S049,H13,,296-12013-1-ND,,,,,,,
S050,G13,,296-13441-5-ND,,,,,,,
S051,,,296-24383-5-ND,,,,,,,
S052,,,568-4961-5-ND,,,,,,,
S053,E17,,342-1070-1-ND,,,,,,,
S054,-,,296-29904-1-ND,,,,,,,
S055,,,296-8257-5-ND,,,,,,,
S056,,,296-3670-5-ND,,,,,,,
S057,,,296-1956-5-ND,,,,,,,
S058,,,296-24583-1-ND,,,,,,,
S059,E6,,EG1903-ND,$0.75 ,,,,,,
S060,E24,,2N3904-APCT-ND,,,,,,,
S061,F24,,PN2222ATFCT-ND,,,,,,,
S062,G24,,2N3906-APCT-ND,,,,,,,
S063,H24,,PN2907A-APCT-ND,,,,,,,
S064,E25,,BS170-ND,,,,,,,
S065,,,IRFD9010PBF-ND,,,,,,,
S066,A8,,LM318N/NOPB-ND,,"IC, Op-amp, LM318",,,,,General-purpose opamp DIP8
S067,B8,,296-1391-5-ND,,"IC, Op-amp, LM324",,,,,General-purpose quad opamp DIP14
S068,C8,,LMC6482IN/NOPB-ND,,,,,,,General-purpose opamp DIP8
S069,D8,,296-1777-5-ND,,,,,,,JFET opamp DIP14
S070,,,296-44414-5-ND,,,,,,,Audio amp DIP8
S071,,,296-43939-1-ND,,,,,,,General-purpose opamp SOT-23
S072,,,296-21928-1-ND,,,,,,,Level shifter DIP14
S073,B19,,296-8503-5-ND,,,,,,,Octal transceiver DIP20
S074,C16,,296-1563-5-ND,,,,,,,Quad NAND gate DIP14
S075,D16,,296-1564-5-ND,,,,,,,Quad NOR gate DIP14
S076,D15,,296-1566-5-ND,,,,,,,Hex inverter DIP14
S077,A16,,296-1570-5-ND,,,,,,,Quad AND gate DIP14
S078,B16,,296-1589-5-ND,,,,,,,Quad OR gate DIP14
S079,C15,,296-8375-5-ND,,,,,,,Quad XOR gate DIP14
S080,B15,,296-1668-5-ND,,,,,,,D flip flop DIP14
S081,A15,,296-1600-5-ND,,,,,,,Shift register DIP16
S082,,,296-1956-5-ND,,,,,,,Med-current Shift Register DIP20
S083,A17,,296-12810-5-ND,,,,,,,Mux/Demux DIP16
S084,F25,,296-42271-5-ND,,,,,,,Power NMOS TO-220
S085,,,296-43211-1-ND,,,,,,,Power NMOS D2PAK
