digikey_pn,gridid,subgridid,cost
CF14JT1R00CT-ND,A1,-1,
S1.2QCT-ND,A1,-2,
S1.5QCT-ND,A1,-3,
S1.8QCT-ND,B1,-1,
S2.2QCT-ND,B1,-2,
S2.7QCT-ND,B1,-3,
S3.3QCT-ND,C1,-1,
S3.9QCT-ND,C1,-2,
S4.7QCT-ND,C1,-3,
S5.6QCT-ND,D1,-1,
S6.8QCT-ND,D1,-2,
S8.2QCT-ND,D1,-3,
CF14JT10R0CT-ND,A2,-1,
CF14JT12R0CT-ND,A2,-2,
CF14JT15R0CT-ND,A2,-3,
CF14JT18R0CT-ND,B2,-1,
CF14JT22R0CT-ND,B2,-2,
CF14JT27R0CT-ND,B2,-3,
CF14JT33R0CT-ND,C2,-1,
CF14JT39R0CT-ND,C2,-2,
CF14JT47R0CT-ND,C2,-3,
CF14JT56R0CT-ND,D2,-1,
CF14JT68R0CT-ND,D2,-2,
CF14JT82R0CT-ND,D2,-3,
CF14JT100RCT-ND,A3,-1,
CF14JT120RCT-ND,A3,-2,
CF14JT150RCT-ND,A3,-3,
CF14JT180RCT-ND,B3,-1,
CF14JT220RCT-ND,B3,-2,
CF14JT270RCT-ND,B3,-3,
CF14JT330RCT-ND,C3,-1,
CF14JT390RCT-ND,C3,-2,
CF14JT470RCT-ND,C3,-3,
CF14JT560RCT-ND,D3,-1,
CF14JT680RCT-ND,D3,-2,
CF14JT820RCT-ND,D3,-3,
CF14JT1K00CT-ND,A4,-1,
CF14JT1K20CT-ND,A4,-2,
CF14JT1K50CT-ND,A4,-3,
CF14JT1K80CT-ND,B4,-1,
CF14JT2K20CT-ND,B4,-2,
CF14JT2K70CT-ND,B4,-3,
CF14JT3K30CT-ND,C4,-1,
CF14JT3K90CT-ND,C4,-2,
CF14JT4K70CT-ND,C4,-3,
CF14JT5K60CT-ND,D4,-1,
CF14JT6K80CT-ND,D4,-2,
CF14JT8K20CT-ND,D4,-3,
CF14JT10K0CT-ND,A5,-1,
CF14JT12K0CT-ND,A5,-2,
CF14JT15K0CT-ND,A5,-3,
CF14JT18K0CT-ND,B5,-1,
CF14JT22K0CT-ND,B5,-2,
CF14JT27K0CT-ND,B5,-3,
CF14JT33K0CT-ND,C5,-1,
CF14JT39K0CT-ND,C5,-2,
CF14JT47K0CT-ND,C5,-3,
CF14JT56K0CT-ND,D5,-1,
CF14JT68K0CT-ND,D5,-2,
CF14JT82K0CT-ND,D5,-3,
CF14JT100KCT-ND,A6,-1,
CF14JT120KCT-ND,A6,-2,
CF14JT150KCT-ND,A6,-3,
CF14JT180KCT-ND,B6,-1,
CF14JT220KCT-ND,B6,-2,
CF14JT270KCT-ND,B6,-3,
CF14JT330KCT-ND,C6,-1,
CF14JT390KCT-ND,C6,-2,
CF14JT470KCT-ND,C6,-3,
CF14JT560KCT-ND,D6,-1,
CF14JT680KCT-ND,D6,-2,
CF14JT820KCT-ND,D6,-3,
CF14JT1M00CT-ND,A7,-1,
CF14JT1M20CT-ND,A7,-2,
CF14JT1M50CT-ND,A7,-3,
CF14JT1M80CT-ND,B7,-1,
CF14JT2M20CT-ND,B7,-2,
CF14JT2M70CT-ND,B7,-3,
CF14JT3M30CT-ND,C7,-1,
CF14JT3M90CT-ND,C7,-2,
CF14JT4M70CT-ND,C7,-3,
CF14JT5M60CT-ND,D7,-1,
CF14JT6M80CT-ND,D7,-2,
CF14JT8M20CT-ND,D7,-3,
CF14JT10M0CT-ND,E7,-1,
