type,package,desc,val1,val2,val3,gridid
BJT,TO-92,NPN,,2N3904,,A-6
BJT,TO-92,NPN,,PN2222A,,B-6
BJT,TO-92,PNP,,2N3906,,C-56
BJT,TO-92,PNP,,PN2907,,D-6
MOSFET,TO-92,N-channel,,BS170,,E-6
,,,,,,F-6
,,,,,,G-6
,,,,,,H-6
Diode,Axial,,,1N4148,,A-7
Diode,Axial,,,1N4007,,B-7
Diode,Axial,,,MBR40250TG,,C-7
Diode,Axial,,,1N5227B,,D-7
Diode,Axial,,,1N5231B,,E-7
Diode,Axial,,,P4KE20A,,F-7
,,,,,,G-7
,,,,,,H-7
Crystals,HC-49,,12MHz,,16MHz,A-8
Crystals,Radial,,,32.768MHz,,B-8
Buttons,Various,,,Little,,C-8
Buttons,Various,,Short,Medium,Tall,D-8
