digikey_pn,gridid,quantity
CF14JT1R00CT-ND,,500
S1.2QCT-ND,,500
S1.5QCT-ND,,500
S1.8QCT-ND,,500
S2.2QCT-ND,,500
S2.7QCT-ND,,500
S3.3QCT-ND,,500
S3.9QCT-ND,,500
S4.7QCT-ND,,500
S5.6QCT-ND,,500
S6.8QCT-ND,,500
S8.2QCT-ND,,500
CF14JT10R0CT-ND,,1000
CF14JT12R0CT-ND,,500
CF14JT15R0CT-ND,,500
CF14JT18R0CT-ND,,500
CF14JT22R0CT-ND,,500
CF14JT27R0CT-ND,,500
CF14JT33R0CT-ND,,500
CF14JT39R0CT-ND,,500
CF14JT47R0CT-ND,,1000
CF14JT56R0CT-ND,,500
CF14JT68R0CT-ND,,500
CF14JT82R0CT-ND,,500
CF14JT100RCT-ND,,1000
CF14JT120RCT-ND,,500
CF14JT150RCT-ND,,500
CF14JT180RCT-ND,,500
CF14JT220RCT-ND,,500
CF14JT330RCT-ND,,500
CF14JT390RCT-ND,,500
CF14JT470RCT-ND,,1000
CF14JT560RCT-ND,,500
CF14JT680RCT-ND,,500
CF14JT820RCT-ND,,500
CF14JT1K00CT-ND,,1000
CF14JT1K20CT-ND,,500
CF14JT1K80CT-ND,,500
CF14JT2K20CT-ND,,500
CF14JT2K70CT-ND,,500
CF14JT3K30CT-ND,,500
CF14JT3K90CT-ND,,500
CF14JT4K70CT-ND,,1000
CF14JT5K60CT-ND,,500
CF14JT6K80CT-ND,,500
CF14JT8K20CT-ND,,500
CF14JT10K0CT-ND,,1000
CF14JT12K0CT-ND,,500
CF14JT15K0CT-ND,,500
CF14JT18K0CT-ND,,500
CF14JT12K0CT-ND,,500
CF14JT27K0CT-ND,,500
CF14JT33K0CT-ND,,500
CF14JT39K0CT-ND,,500
CF14JT47K0CT-ND,,1000
CF14JT56K0CT-ND,,500
CF14JT68K0CT-ND,,500
CF14JT82K0CT-ND,,500
CF14JT150KCT-ND,,500
CF14JT180KCT-ND,,500
CF14JT220KCT-ND,,500
CF14JT270KCT-ND,,500
CF14JT330KCT-ND,,500
CF14JT390KCT-ND,,500
CF14JT470KCT-ND,,500
CF14JT560KCT-ND,,500
CF14JT680KCT-ND,,500
CF14JT820KCT-ND,,500
CF14JT1M00CT-ND,,500
CF14JT1M20CT-ND,,500
CF14JT1M50CT-ND,,500
CF14JT1M80CT-ND,,500
CF14JT2M20CT-ND,,500
CF14JT2M70CT-ND,,500
CF14JT3M30CT-ND,,500
CF14JT3M90CT-ND,,500
CF14JT4M70CT-ND,,500
CF14JT5M60CT-ND,,500
CF14JT6M80CT-ND,,500
CF14JT8M20CT-ND,,500
CF14JT10M0CT-ND,,500
