digikey_pn,gridid,quantity,parametrics
CF14JT1R00CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT1R00CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT1R00'), ('Description', 'RES 1 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 1'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/415%RCT CF1/415%RCT-ND CF1/41JRCT CF1/41JRCT-ND CF14JT1R00CT')])"
S1.2QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S1.2QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT1R20'), ('Description', 'RES 1.2 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 1-2'), ('RoHS Information', 'RoHS Compliance'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1.2'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S1.2QCT')])"
S1.5QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S1.5QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT1R50'), ('Description', 'RES 1.5 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 1-5'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1.5'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S1.5QCT')])"
S1.8QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S1.8QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT1R80'), ('Description', 'RES 1.8 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 1-8'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1.8'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S1.8QCT')])"
S2.2QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S2.2QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT2R20'), ('Description', 'RES 2.2 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 2-2'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '2.2'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S2.2QCT')])"
S2.7QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S2.7QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT2R70'), ('Description', 'RES 2.7 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 2-7'), ('RoHS Information', 'RoHS Compliance'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '2.7'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S2.7QCT')])"
S3.3QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S3.3QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT3R30'), ('Description', 'RES 3.3 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 3-3'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '3.3'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S3.3QCT')])"
S3.9QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S3.9QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT3R90'), ('Description', 'RES 3.9 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 3-9'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '3.9'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S3.9QCT')])"
S4.7QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S4.7QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT4R70'), ('Description', 'RES 4.7 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 4-7'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '4.7'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S4.7QCT')])"
S5.6QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S5.6QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT5R60'), ('Description', 'RES 5.6 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 5-6'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '5.6'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S5.6QCT')])"
