digikey_pn,gridid,quantity,parametrics,title,package,quickdesc,mfrpn,desc,code
CF14JT1R00CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT1R00', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/415%RCT \rCF1/415%RCT-ND \rCF1/41JRCT \rCF1/41JRCT-ND \rCF14JT1R00CT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT1R00CT-ND', 'Resistance (Ohms)': '1', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 1', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 1 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 1Ω",Axial,±5%,CF14JT1R00,RES 1 OHM 1/4W 5% CARBON FILM,CF14JT1R00CT-ND
S1.2QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT1R20', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S1.2QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S1.2QCT-ND', 'Resistance (Ohms)': '1.2', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 1-2', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 1.2 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 1.2Ω",Axial,±5%,CFM14JT1R20,RES 1.2 OHM 1/4W 5% CF MINI,S1.2QCT-ND
S1.5QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT1R50', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S1.5QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S1.5QCT-ND', 'Resistance (Ohms)': '1.5', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 1-5', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 1.5 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 1.5Ω",Axial,±5%,CFM14JT1R50,RES 1.5 OHM 1/4W 5% CF MINI,S1.5QCT-ND
S1.8QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT1R80', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S1.8QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S1.8QCT-ND', 'Resistance (Ohms)': '1.8', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 1-8', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 1.8 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 1.8Ω",Axial,±5%,CFM14JT1R80,RES 1.8 OHM 1/4W 5% CF MINI,S1.8QCT-ND
S2.2QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT2R20', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S2.2QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S2.2QCT-ND', 'Resistance (Ohms)': '2.2', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 2-2', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 2.2 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 2.2Ω",Axial,±5%,CFM14JT2R20,RES 2.2 OHM 1/4W 5% CF MINI,S2.2QCT-ND
S2.7QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT2R70', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S2.7QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S2.7QCT-ND', 'Resistance (Ohms)': '2.7', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 2-7', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 2.7 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 2.7Ω",Axial,±5%,CFM14JT2R70,RES 2.7 OHM 1/4W 5% CF MINI,S2.7QCT-ND
S3.3QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT3R30', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S3.3QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S3.3QCT-ND', 'Resistance (Ohms)': '3.3', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 3-3', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 3.3 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 3.3Ω",Axial,±5%,CFM14JT3R30,RES 3.3 OHM 1/4W 5% CF MINI,S3.3QCT-ND
S3.9QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT3R90', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S3.9QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S3.9QCT-ND', 'Resistance (Ohms)': '3.9', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 3-9', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 3.9 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 3.9Ω",Axial,±5%,CFM14JT3R90,RES 3.9 OHM 1/4W 5% CF MINI,S3.9QCT-ND
S4.7QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT4R70', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S4.7QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S4.7QCT-ND', 'Resistance (Ohms)': '4.7', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 4-7', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 4.7 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 4.7Ω",Axial,±5%,CFM14JT4R70,RES 4.7 OHM 1/4W 5% CF MINI,S4.7QCT-ND
S5.6QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT5R60', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S5.6QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S5.6QCT-ND', 'Resistance (Ohms)': '5.6', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 5-6', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 5.6 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 5.6Ω",Axial,±5%,CFM14JT5R60,RES 5.6 OHM 1/4W 5% CF MINI,S5.6QCT-ND
